Subject	Predicate	Object
N7c43e9f2df82499484f767f161b8b26a	crm:P90_has_value	5761240
Nb9a03137709648b892196c6c1b9a6ccb	crm:P1i_identifies	Technical_Bulletin_8_1984_15-23.pdf
N3abb81436e944ef8899c5c5d6e0ee426	crm:P1i_identifies	National Gallery Technical Bulletin
aat:300379244	crm:P1i_identifies	years@en
N03e5ca405b78444283dd05747bb8080d	crm:P82a_begin_of_the_begin	1984-01-01T00:00:00
aat:300265863	crm:P1i_identifies	size for computer files@en
N858897e29e2141d492d3e1806db849b6	crm:P14_carried_out_by	N4fc4fda9fe7d453181e2cbc68743dbc8
Na712278b968f43869dd93a8f378ccfdc	crm:P1i_identifies	Allan Braham
ngo:30DI-70LO-HETP-D06L	crm:P149_is_identified_by	Nb9a03137709648b892196c6c1b9a6ccb
ngo:30DI-70LO-HETP-D06L	crm:P2_has_type	rro:RCL192.Conservation
N7c43e9f2df82499484f767f161b8b26a	crm:P91_has_unit	aat:300265869
N03e5ca405b78444283dd05747bb8080d	crm:P2_has_type	crm:E52_Time_span
aat:300265869	crm:P1i_identifies	bytes@en
ngo:30DI-70LO-HETP-D06L	crm:E73_refers_to	ngo:000-0432-0000
ngo:30DI-70LO-HETP-D06L	crm:P2_has_type	Nf551e86376a1414fb40853b7cc6c53c2
Nb9a03137709648b892196c6c1b9a6ccb	crm:P2_has_type	crm:E42_Identifier
N03e5ca405b78444283dd05747bb8080d	crm:P2_has_type	aat:300379244
N7c43e9f2df82499484f767f161b8b26a	crm:P2_has_type	aat:300265863
N4fc4fda9fe7d453181e2cbc68743dbc8	crm:P2_has_type	crm:E39_Actor
ngo:30DI-70LO-HETP-D06L	crm:P4_has_time_span	N03e5ca405b78444283dd05747bb8080d
ngo:30DI-70LO-HETP-D06L	crm:E73_refers_to	ngo:000-02VC-0000
N386b3a77ae7842748d5a1d63f7d43db8	crm:P106i_forms_part_of	N3abb81436e944ef8899c5c5d6e0ee426
ngo:30DI-70LO-HETP-D06L	crm:P94i_was_created_by	N858897e29e2141d492d3e1806db849b6
N7c43e9f2df82499484f767f161b8b26a	crm:P2_has_type	crm:E54_Dimension
wd:Q1144928	crm:P1i_identifies	filename@en
N03e5ca405b78444283dd05747bb8080d	crm:P82b_end_of_the_end	1984-12-31T00:00:00
aat:300266022	crm:P1i_identifies	PDF@en
Nb9a03137709648b892196c6c1b9a6ccb	crm:P2_has_type	wd:Q1144928
Na712278b968f43869dd93a8f378ccfdc	crm:P2_has_type	crm:E39_Actor
ngo:30DI-70LO-HETP-D06L	crm:P102_has_title	N386b3a77ae7842748d5a1d63f7d43db8
N858897e29e2141d492d3e1806db849b6	crm:P2_has_type	crm:E65_Creation
Nf551e86376a1414fb40853b7cc6c53c2	crm:P2_has_type	aat:300266022
ngo:30DI-70LO-HETP-D06L	crm:P43_has_dimension	N7c43e9f2df82499484f767f161b8b26a
N858897e29e2141d492d3e1806db849b6	crm:P14_carried_out_by	Na712278b968f43869dd93a8f378ccfdc
N4fc4fda9fe7d453181e2cbc68743dbc8	crm:P1i_identifies	Martin Wyld
N386b3a77ae7842748d5a1d63f7d43db8	crm:P1i_identifies	Raphael�s St John the Baptist Preaching�
ngo:30DI-70LO-HETP-D06L	crm:P2_has_type	crm:E31_Document
